Title,Description,Status,Sprint,Priority,Labels,Assignees
"Epic: Tech Spike — Canvas 60fps + AR.js ทำงานร่วมกันได้","Sprint 0: พิสูจน์ความเป็นไปได้ทางเทคนิค — Canvas loop 60fps + สแกนการ์ด AR.js ได้จริง ก่อนพัฒนาฟีเจอร์ (บทที่ 8.1)","Backlog","Sprint 0","Must","Epic","Game Developer, AR Engineer"
"Epic: Vertical Slice — เล่นด่าน 1 ครบวงจร","Sprint 1: เล่น 1 ด่านครบวงจร — มอนสเตอร์เดิน → เลือกกระสุน 1–8 → ยิง → ถูก/ผิด → คะแนน → สรุป (บทที่ 8.1)","Backlog","Sprint 1","Must","Epic","Game Developer, UI/UX Designer"
"US-01: ยิงมอนสเตอร์ด้วยเมาส์ (เล็ง+คลิก)","ในฐานะผู้เล่น ฉันต้องการยิงมอนสเตอร์ด้วยเมาส์ (เล็ง+คลิก) เพื่อเล่นเกมยิงได้ — AC: เลื่อนเมาส์เล็งเป้า, คลิกซ้ายยิง, กระสุนเคลื่อนที่ไปยังเป้า, โดนมอนสเตอร์ (บทที่ 8.2, 8.4)","In Progress","Sprint 1","Must","โค้ด","Game Developer"
"US-02: เลือกกระสุนมาตรา 1–8 (Keyboard)","ในฐานะผู้เล่น ฉันต้องการเลือกกระสุนมาตรา ด้วยแป้น 1–8 เพื่อยิงได้ถูกมาตรา — AC: กด 1–8 เลือกกระสุน (1=กา…8=เกอว), ทำงานแม้เปิด IME ไทย (event.code), คลิกปุ่มกระสุนก็ได้ (บทที่ 8.4)","Ready","Sprint 1","Must","โค้ด","Game Developer"
"US-03: แสดงบัตรคำบนมอนสเตอร์ (ตัวสะกดกะพริบ)","ในฐานะผู้เล่น ฉันต้องการเห็นคำของมอนสเตอร์ (ตัวสะกดกะพริบ) เพื่อตัดสินใจเลือกมาตรา — AC: บัตรคำเหนือหัวมอนสเตอร์, ตัวสะกดกะพริบเป็นเป้าหมาย (บทที่ 6.4, 8.2)","Ready","Sprint 1","Must","โค้ด","Game Developer"
"Sprite sheet มอนสเตอร์ Walker (เดิน/ระเบิด/มิตร)","Sprite sheet ชุดเฟรม Walker — เดิน, ถูกยิง, ระเบิด (เขียว = มิตร), ใช้ Canvas renderer (บทที่ 6.6, 7.6)","Backlog","Sprint 1","Must","ดีไซน์","UI/UX Designer"
"ธนาคารคำ ด่าน 1–2 (แม่กก/กด ตรงมาตรา) + ตรวจ IOC","ธนาคารคำศัพท์ด่าน 1–2 (ตรงมาตรา 100%) — ทุกคำมีมาตรา/ตัวสะกดถูกต้อง ตรวจโดยครูภาษาไทย (IOC) (บทที่ 3.3, 8.2)","Review","Sprint 1","Must","เนื้อหา","Content Specialist"
"เทมเพลตการ์ด AR มอนสเตอร์ (พิมพ์)","ออกแบบการ์ด AR มอนสเตอร์สำหรับโหมด AR — ขนาด A5/A4, มาร์กเกอร์ contrast สูง, ใช้ AR.js marker generator (บทที่ 6.6, 7.2)","Backlog","Sprint 1","Should","ดีไซน์","UI/UX Designer, AR Engineer"
"Unit test ระบบตรวจมาตรา (ถูก/ผิด)","Unit test Vitest สำหรับ Matra checker — คำ เลข→แม่กก, มาก→แม่กก, ตา→แม่กา; ถูก/ผิด/ชะงัก (บทที่ 10.2)","Backlog","Sprint 1","Must","ทดสอบ","QA Tester"
"US-04: ระบบคำใบ้เมื่อยิงผิด (ชะงัก + คำใบ้แดง)","ในฐานะผู้เล่น ฉันต้องการคำใบ้เมื่อยิงผิด (ชะงัก 2–3 วิ + 'ออกเสียงเหมือน ก สะกด') เพื่อเรียนรู้จากข้อผิดพลาด — AC: คำใบ้ระดับ 1–4 ค่อยเป็นค่อยไป (บทที่ 4.7, 8.2)","Backlog","Sprint 2","Must","โค้ด","Game Developer"
"US-09: Save/Load ความคืบหน้า (เล่นต่อจากด่านค้าง)","ในฐานะผู้เล่น ฉันต้องการเล่นต่อจากด่านที่ค้างไว้ได้ เพื่อไม่ต้องเริ่มใหม่ — AC: บันทึกสถานะ (ด่าน/คะแนน/ชิ้นส่วน) ใน LocalStorage, โหลดกลับถูกต้อง (บทที่ 7.5, 8.2)","Backlog","Sprint 2","Must","โค้ด","Game Developer"
"US-12: คำใบ้/เฉลยเป็นข้อความเมื่อปิดเสียง","ในฐานะผู้เล่น ฉันต้องการคำใบ้/เฉลยเป็นข้อความเมื่อปิดเสียง เพื่อเล่นในห้องเรียนที่เงียบ — AC: ทุกคำใบ้มีทั้งข้อความและเสียง (บทที่ 6.5, 8.2)","Backlog","Sprint 2","Must","โค้ด","Game Developer"
"US-05: สะสมชิ้นส่วนอัปเกรดยาน (Hangar)","ในฐานะผู้เล่น ฉันต้องการสะสมชิ้นส่วนอัปเกรดยาน เพื่อมีแรงจูงใจเล่นต่อ — AC: เครื่องยนต์/ปืนคู่/โล่/เซนเซอร์, ครบเกณฑ์ปลดล็อก, เอฟเฟกต์ทำงานจริง (บทที่ 4.8)","Backlog","Sprint 4","Should","โค้ด","Game Developer"
"US-06: Modal Settings (เสียง/ความเร็ว/โหมดผ่อนปรน)","ในฐานะผู้เล่น ฉันต้องการเปิด Modal Settings (เสียง/ความเร็ว/โหมดผ่อนปรน) เพื่อปรับประสบการณ์เล่น — AC: ปิด/เปิด BGM+SFX แยก, ความเร็ว ช้า/ปกติ/เร็ว, โหมดผ่อนปรน, เปิดด้วย Esc (บทที่ 6.3, 8.2)","Backlog","Sprint 5","Must","โค้ด","Game Developer"
"US-07: Modal Hall of Fame 10 อันดับ","ในฐานะผู้เล่น ฉันต้องการดู Modal Hall of Fame 10 อันดับ เพื่อแข่งขันกับเพื่อน — AC: เก็บ 10 คะแนนสูงสุด (LocalStorage), ชื่อในเกมเท่านั้น, ดีไซน์ Neon เรืองแสง (บทที่ 6.3, 7.5)","Backlog","Sprint 5","Should","โค้ด","Game Developer"
"US-08: โหมด AR สแกนการ์ดมอนสเตอร์บนโต๊ะ","ในฐานะผู้เล่น ฉันต้องการเล่นโหมด AR: สแกนการ์ดมอนสเตอร์บนโต๊ะแล้วยิง เพื่อความสนุก/ทบทวนนอกห้องเรียน — AC: AR.js marker-based, Fallback โหมดจอปกติเมื่อไม่มีกล้อง (บทที่ 4.6, 7.2)","Backlog","Sprint 5","Should","โค้ด","AR Engineer"
"US-11: ตัวเลือกความเร็วเกม (ช้า/ปกติ/เร็ว)","ในฐานะผู้เล่น ฉันต้องการตัวเลือกความเร็วเกม (ช้า/ปกติ/เร็ว) เพื่อเหมาะกับทักษะตัวเอง — AC: ความเร็วมอนสเตอร์เปลี่ยนตามจริง, เก็บค่าลง Settings (บทที่ 8.2)","Backlog","Sprint 5","Should","โค้ด","Game Developer"
"US-10: Dashboard ครู (Misconception Map รายมาตรา)","ในฐานะครู ฉันต้องการดูสรุปความผิดพลาดรายมาตรา (Misconception Map) เพื่อวางแผนซ่อมเสริม — AC: สรุปห้องเรียนรายมาตรา, Export analytics (บทที่ 5.4, 8.2)","Backlog","Sprint 6","Should","โค้ด","Game Developer"
"Epic: Pilot + อบรมครู + คู่มือ (Sprint 7)","Sprint 7: ทดลองใช้จริง 2 ห้องเรียน, อบรมครู, คู่มือครู/นักเรียน, เผยแพร่ (บทที่ 8.1, 10.5)","Backlog","Sprint 7","Must","Epic","Product Owner, QA Tester"
